	WT_1	WT_2	XistKO_1	XistKO_2
Ctbp1	1422	1332	1845	1326
Txndc16	452	521	563	512
Oxt	0	0	0	0
Mfap2	0	4	0	0
Strit1	0	0	0	0
Ncor2	4	7	5	2
Slxl1	0	0	0	0
Avpr1b	0	0	0	0
Gm20556	1	0	8	1
4930452N14Rik	0	0	0	1
Fam229a	0	0	0	0
Skint3	0	0	0	0
Ckm	0	0	0	0
Ncan	15	10	24	11
A830082K12Rik	230	234	796	791
Ablim2	0	0	0	0
Fgf1	9	7	46	30
Armt1	1247	1176	1660	1328
Ncbp3	2984	2976	3932	2887
Slc15a3	3	0	0	0
Ccnc	11957	12789	16473	16845
Atp2a3	0	0	0	0
2810004N23Rik	703	594	962	526
Rwdd1	7762	7536	9970	7353
Grtp1	7	3	0	0
Podxl	4	4	6	0
A330076C08Rik	0	0	0	0
4930532M18Rik	0	0	0	0
Zfp617	5981	6088	5642	5067
C1ql1	0	0	0	0
Bpnt1	3462	3790	6304	4946
Ube3a	59532	63832	58831	59473
Ubb	839	978	1830	830
Tyr	371	386	353	295
Nob1	852	872	451	296
Med21	3342	3457	4328	3455
Sostdc1	1	0	0	0
Ftsj3	1946	1597	2848	1091
Gdpd3	2	1	9	4
Tjap1	56	87	90	23
Mrps7	259	228	423	145
Stau2	1296	1164	1044	964
Paqr5	0	0	0	0
Mir6940	0	0	0	0
Mir6939	0	0	0	0
Mir6942	0	1	0	0
Clasp1	2353	2092	2657	1686
Rbm10	588	594	1004	440
Mrgprd	0	0	0	0
Slc41a3	38	31	16	20
Flot2	111	57	111	51
Ccnyl1	2786	2338	4819	3637
Ecm1	12	10	4	5
Cd82	5	4	6	0
Anks1	54	57	104	53
Syt6	2	2	0	0
Gm20609	0	0	0	0
Dnmt3a	382	371	395	276
Mpv17l	468	447	482	415
Pde4dip	4244	4449	5253	4188
Pomgnt2	8	6	9	5
Mir6406	0	0	0	0
Ankrd10	5556	5408	5940	6069
4930504C09Rik	132	115	120	123
Nsg1	148	136	1010	822
Prkar1b	1	2	1	0
Tmem159	465	433	293	229
Thumpd1	2928	2636	2871	2181
Brdt	105	98	139	139
Adgrv1	12	13	0	7
Ctu1	99	81	77	44
Cpa5	0	0	0	0
Ube2m	161	77	192	75
Ccdc136	23	28	23	19
Mrps35	426	462	694	273
Gpr84	0	1	0	0
Eva1a	145	139	340	346
Pcdhgb8	14	17	91	54
Znf41-ps	58	59	68	63
Tmem141	5	0	3	2
Rsph6a	0	0	0	0
Thy1	129	85	514	229
Thrb	5	9	4	8
Thpo	3	1	1	0
Adam17	5553	4958	6934	5835
Prap1	0	0	0	0
Uox	1	1	2	1
Patl2	1	0	0	0
Tmem86a	27	21	3	1
Plce1	174	162	58	38
Gpr21	109	136	127	88
Olfr518	0	0	0	0
Olfr420	0	0	0	0
Olfr1340	0	0	0	0
Aknad1	6	1	32	19
Pde2a	0	0	0	0
Rhbdf2	1	0	0	0
Mtmr11	558	588	628	426
Rps27l	15628	18045	23784	16583
Ppa1	6170	5480	8282	5426
Mfap3l	10166	10533	11279	12150
Ifi30	38	44	148	48
Cpvl	0	0	0	0
Nipbl	23127	24817	21158	20248
Rbm12b1	213	231	592	549
1700029P11Rik	0	0	0	0
Defa29	0	0	0	0
1810012K16Rik	7	6	10	2
Ascl5	0	0	0	0
Nox4	493	542	714	748
Eral1	231	162	212	147
Insm2	0	0	0	0
Nqo2	1638	1398	2905	2519
4930526I15Rik	1	0	1	1
4930511M06Rik	1017	1244	1132	980
1110038B12Rik	606	744	1142	371
1110020A21Rik	11	17	8	8
Angel2	1924	1946	2490	1983
Cpeb3	67	74	50	61
Armh3	384	311	396	289
Dhx30	516	419	450	261
Marchf1	9	12	1	6
Efemp2	111	120	167	61
Mmaa	130	172	122	123
4933406K04Rik	0	0	0	0
Npy4r	0	0	0	0
Raet1b	0	0	0	0
Gpr12	0	0	0	0
Cstf2	11159	11329	16377	15481
Hap1	5	6	6	0
Gabra6	0	0	0	0
Ugt1a1	0	0	0	0
Ormdl2	1483	1341	1690	1422
Tec	186	185	157	121
Tom1	16	8	12	3
Sgpl1	4407	4375	6754	5075
Ang5	0	0	0	0
Hvcn1	1	2	0	1
1700109H08Rik	241	233	277	263
Nmrk2	11	9	22	10
Pi4k2b	7898	8728	15392	13393
Rtn4ip1	126	80	104	56
Sdr42e1	0	0	0	0
Ahctf1	25479	23521	32487	26465
Stk31	32	44	0	0
Ctrb1	0	0	0	0
C330018D20Rik	1197	1115	2047	1846
Ankrd55	19	14	12	7
Sema3d	12244	13224	1390	1372
Wdr82	6106	5621	6388	4545
Slc6a19	0	0	1	1
4933430I17Rik	21	26	31	15
Dao	0	0	0	0
E2f3	1413	1398	2037	1757
Usp17lc	0	0	0	0
Zbtb39	110	89	127	81
1810058I24Rik	445	441	806	605
Klkb1	4	2	2	0
Neurog1	0	0	0	0
Neurod2	0	0	0	0
Hspb1	4	4	0	0
Neb	145	152	11	13
Ptger3	2	0	0	0
Ptcra	161	148	138	69
Pstpip1	0	0	0	0
Scn1b	0	0	0	0
Slc20a1	2342	1877	5548	3626
Csnk1g2	126	116	244	100
Gm12348	0	0	0	0
Olfr1333	0	0	0	0
Olfr741	0	0	0	0
Zc2hc1c	16	6	9	6
Rap2c	12244	12504	14420	14861
Nkx2-3	2	3	0	0
Aplf	399	345	669	464
Fam13c	111	135	66	71
Tex33	0	0	0	0
Phospho2	1904	1730	2679	2008
Col20a1	0	5	2	3
Fgd6	165	170	339	242
Ccdc60	0	0	0	0
Trerf1	159	253	274	203
Ctnnd1	4131	3780	4714	3366
Stxbp1	190	219	333	219
Zfp275	6793	6508	7053	6275
Acer2	50	43	32	46
Pdzd4	121	90	82	56
Matn4	0	0	0	0
Scn1a	20	15	3	2
C87198	0	2	0	0
Adh5	3264	3217	4038	2536
Tmcc2	101	72	128	54
Hnrnph3	2213	2046	1927	1774
Il1r1	2424	2483	2213	2072
Gm3417	0	0	0	0
Odf2	428	345	504	321
Stx8	234	159	272	180
S100pbp	2846	2506	3507	3108
A930041C12Rik	0	1	2	0
BC051537	0	0	0	0
Nt5c3b	270	232	454	199
Gpr179	0	0	0	0
2310057J18Rik	0	0	0	0
Gm16157	180	184	172	103
Gtf2ird1	230	255	321	194
Zfp37	1400	1462	605	647
Pbx1	3691	4188	5770	5378
Lbx2	0	0	0	0
Lbx1	0	0	0	0
Lats1	14854	16386	20068	20659
Lat	0	1	2	2
Lasp1	2976	2839	3479	1982
Laptm5	0	0	0	0
Ing1	2064	2261	2365	2097
Actn3	0	0	0	0
Slc9b1	1	4	0	0
Nalcn	9	16	7	6
Mir6981	0	0	0	0
Aadacl3	0	0	0	0
Bglap	0	0	0	0
Klk1b3	0	0	0	0
Cnga1	0	0	0	1
Ccr10	0	0	0	1
Ccr8	0	0	0	0
Ccr7	0	0	0	0
Clk4	4292	3988	5112	4968
Lta4h	986	851	1477	694
Tmem116	0	2	1	0
Mast2	376	261	402	227
Pigv	130	103	175	115
Klrb1a	1	0	12	8
Cabyr	13	8	11	12
Mtif2	2006	1784	2729	2210
Blcap	393	335	667	437
Sgk1	3690	4261	9588	8196
Timp3	19074	18802	59	49
Sertad1	124	114	220	71
Bace1	620	632	450	299
Ash2l	3903	3555	4016	2747
Smarcal1	296	271	374	204
Dusp14	268	245	501	320
Cd248	6	2	4	1
Npy5r	5	8	37	23
Npy1r	185	193	54	56
Cbx5	69955	65214	77482	66411
Bclaf3	6214	7383	7791	7725
Zbtb3	16	14	23	8
Abcc8	0	0	0	0
4930583I09Rik	0	0	0	0
Nr6a1	245	196	273	240
Fut10	986	953	945	778
Tmem200a	2605	2504	2440	2253
Rgs7bp	46	70	70	65
Ak7	2	4	4	2
Pold3	1003	1001	861	636
Cds2	776	626	1042	634
Armc9	134	149	230	139
Asb10	0	0	0	0
Ppp1r3c	12	15	0	0
Slc22a5	142	122	111	65
1600023N17Rik	19	19	25	28
Dlk1	195	218	3	0
Slc7a7	4	1	4	0
Gm3500	3	0	0	0
Tcf7l2	698	960	619	638
Bcl2l2	344	382	894	701
Anxa4	5507	5694	7636	5981
Rgl1	245	216	525	425
Psme3	2504	2110	3531	2235
Tmem19	737	642	809	581
Mrpl42	1400	1342	1901	1014
Herc4	9512	10023	12994	11769
Aup1	62	47	65	47
Hadhb	5190	5570	5889	4012
Agbl5	37	39	25	11
Pvr	1094	1060	1547	1399
Zmym2	8883	8932	12989	12509
Mir3084-2	0	0	0	0
Nol8	6411	5923	8460	7276
Anxa6	761	429	564	191
H60c	9	3	1	0
Sh3gl1	19	9	27	10
Cpt1c	48	31	48	16
Map2k7	148	94	151	85
Lrrc73	0	0	0	0
Zfp936	9	19	1	2
Cmip	342	430	419	279
Dpy30	2214	2581	3362	2445
Gm4710	2	12	5	5
Ect2	29032	32619	31382	30404
Rpl31	3667	2542	4309	2214
Insig2	1503	1736	2152	1590
4921509O07Rik	0	0	0	0
Prl7c1	8	5	0	2
Cers3	33	25	20	27
Ldb2	313	380	48	39
Ncoa7	2134	2343	3380	3558
Cmah	1858	2380	2299	2202
Vps13d	959	922	1020	709
Adra2b	2	3	3	5
Zfp59	694	541	601	459
Mir802	0	0	0	0
Commd6	517	554	1269	953
Tmem42	49	54	45	39
Traf7	178	114	226	93
H2al2b	0	0	0	0
Vmn1r151	0	0	0	0
Mynn	3955	4469	4553	3863
Rab27b	415	507	990	919
E230029C05Rik	0	0	0	0
Olfr1216	0	0	0	0
Olfr1223	0	0	0	0
Olfr1225	0	0	0	0
1700125G02Rik	0	0	0	0
1700045H11Rik	0	0	4	3
Bmp3	27	58	5	4
Il6ra	198	215	272	227
Meis2	1858	1701	3694	3308
Kcnd1	8	6	0	3
Kcnc3	0	0	0	0
Tnfrsf18	1	0	0	0
Foxa3	7	2	0	0
Foxa1	7	11	12	2
Jpt1	633	554	698	321
Hmgcs2	0	0	0	0
Tnnc1	0	0	2	2
Klra6	1	0	0	1
Serpina3c	0	0	0	0
Klk1b8	0	0	0	0
Gsta1	0	0	0	0
Ankdd1a	0	0	0	0
St3gal2	1924	2061	1692	1262
Tbca	6777	7186	8969	6128
Gm11351	29	40	3	0
Pacsin3	23	20	42	21
Ush1c	0	0	0	0
Hp	5	2	0	0
Ceacam2	2	2	3	0
Slc25a4	34189	37347	48397	37476
Ang	13	10	55	24
Amy1	24	26	6	7
Bgn	3828	3500	4692	2551
Mir19b-1	1	0	7	1
Ctnnb1	37205	33916	33528	31441
Ctsl	13424	13943	45417	38161
Ctsd	247	133	169	63
Sec61g	4735	3316	5029	3008
Myh6	0	0	0	0
Pik3c2a	36157	36264	28390	26653
6230400D17Rik	71	60	130	112
4930584F24Rik	0	0	0	0
Lpar5	0	0	0	0
Rnf20	7497	7154	9491	9073
Gm38509	0	0	0	0
Prxl2a	69	85	225	197
4921525O09Rik	0	0	0	0
Rorb	606	612	73	90
Tbx2	0	0	1	0
Trpc5	9	4	6	0
Fam149b	598	654	1411	925
Pus1	101	83	182	75
Aldh18a1	1282	1433	1506	1101
Gdi2	40234	34603	45783	39297
Drd4	0	0	0	0
Drd3	0	0	0	0
Dpep1	0	0	1	1
Pkib	6	2	9	9
Crx	10	8	12	9
Dmbt1	0	0	0	0
Epha6	0	0	0	0
Inka2	179	137	204	131
Rhot1	6355	5632	6462	5567
Ncmap	2	0	1	0
Cacfd1	80	88	87	53
Gm19276	4	4	8	8
Jarid2	722	688	1157	1168
St7l	1069	1040	1038	890
Arhgap15	0	1	0	0
Mag	0	0	0	0
Zfp467	8	11	5	5
Ranbp17	238	227	115	100
Gm14391	0	0	0	0
Vmn2r89	0	0	0	0
Pecam1	1	0	0	0
Aldh1l1	0	0	0	0
Stk32c	0	0	0	0
Gm16430	0	0	0	0
Maf1	108	70	135	54
Lrrc63	0	0	0	0
Krt28	0	0	0	0
Aoc1	0	0	0	0
Itch	9654	9010	11385	10499
Slc30a6	743	785	792	584
Prmt1	126	70	126	56
Mpl	0	0	0	0
Rhbdl3	14	11	6	9
Lin54	7310	7898	8772	8576
Ifnz	0	0	0	0
Rpain	184	161	199	83
Arih2	1948	1560	2207	1442
Osbpl3	1687	1598	1883	1456
Cmtm7	22	17	48	7
Cbfa2t3	0	0	0	0
Senp6	17928	17958	16067	14076
Wdr18	30	12	55	15
Thap3	1	4	2	0
Mtpap	3418	3413	4472	3938
Ube2dnl2	0	0	0	0
Peli3	10	9	8	8
Gm5741	2	0	0	1
Defa35	0	0	0	0
Vmn1r90	0	0	0	0
Gm3139	0	0	0	0
Gm39653	0	0	0	0
Zfp169	162	157	286	204
Gm2721	0	0	0	0
Tmem241	93	82	175	84
Tcf20	8259	6904	8381	6999
Cacnb1	1	0	1	0
H2al1d	0	0	0	0
H2al1c	0	0	0	0
Podn	14	12	7	5
Acr	0	0	0	0
Crhr1	0	0	0	0
Asgr2	0	0	0	0
Tet3	1072	1308	1396	1287
Arhgap33	0	0	0	0
Nrap	0	0	0	0
1700012B07Rik	0	0	0	0
Hoxc5	443	414	0	0
Pianp	0	0	0	0
Lpar6	899	971	1628	1413
Rae1	445	375	873	274
4931406C07Rik	429	462	366	328
Cnep1r1	3659	4128	4424	3913
Snx16	2585	2837	2586	2407
Spata17	2	9	9	2
Tbc1d30	6	6	4	2
Asnsd1	4275	3470	4768	4002
Kptn	13	16	14	14
F9	0	0	0	0
Ankra2	1607	1555	1991	1906
Capzb	7627	8766	10974	9995
Nf2	1059	911	1246	634
Pex3	1826	1795	1903	1614
Trim24	4469	4674	3048	2582
Kmt5a	4100	4213	6189	4813
Cep57	7647	7936	9113	8015
Csn1s1	0	0	0	0
Tsc2	128	99	103	47
Mapk7	36	22	42	21
Egflam	3	6	1	3
Txk	21	9	27	31
Adamts13	4	4	4	4
Zfp862-ps	9	5	45	24
D6Ertd474e	2	2	1	0
Gm3020	0	0	0	0
Olfr571	0	0	0	0
Olfr639	0	0	0	0
Olfr622	0	0	0	0
Olfr609	0	0	0	0
Olfr610	0	0	0	0
Dnajb6	13231	10089	10530	10199
Slc26a10	1	1	0	0
Hspa14	3264	3395	5742	4026
Fkbp11	80	111	154	59
Nubp2	82	65	166	38
Ndrg3	565	394	773	476
Gbp3	97	98	350	408
Fgfr1	1211	1308	2281	1798
Lct	0	0	0	0
Fmo5	39	43	48	26
Fbxw7	1933	1925	1968	1635
D16Ertd519e	0	0	0	0
Septin7	107266	106781	123167	123423
4933409K07Rik	0	0	0	0
Gm14169	0	0	0	0
Gm9926	10	9	9	7
Csf2ra	1	5	1	0
Brd2	3087	2412	2937	2133
Frk	7922	8256	7271	6975
Vmn1r202	0	0	0	0
Slc15a2	0	3	0	0
Tmpo	56481	59998	79887	71657
Triml2	0	0	0	0
Abr	249	254	791	345
Gins4	332	213	376	131
Med27	43	41	67	34
Mir1247	0	0	0	0
Tmem254a	0	0	0	0
1700012C14Rik	0	0	0	0
2510003B16Rik	1	2	2	0
1700025J12Rik	0	0	0	0
4930586N03Rik	0	0	0	0
Lin7a	19	21	122	167
Gxylt1	4660	4418	5712	5283
Zdbf2	0	2	2	0
Magoh	11442	12744	14510	10400
Tmem175	206	220	213	150
Alkbh4	18	13	19	8
Stra8	0	0	0	0
Adad1	0	0	0	0
Golt1a	0	0	0	0
Myl4	0	1	0	0
E030030I06Rik	51	57	89	50
Slc25a25	95	83	101	44
Srrm1	2729	3062	3414	3197
Lce3e	0	0	0	0
Lrrc56	6	6	2	2
Klhdc3	39	34	49	21
Slc38a4	21738	22989	755	729
Tdpoz1	0	0	0	0
Dars2	691	557	976	685
Tmem218	300	298	284	238
Adnp	15	23	18	8
Parp11	433	375	427	366
1700010D01Rik	0	0	0	0
Zfp773	3	8	2	0
G3bp1	19056	20231	26594	24106
Stx3	1642	1572	1312	1205
Extl3	165	175	285	172
Dhx16	203	168	221	110
Tbc1d7	43	29	65	42
Map3k4	209	146	166	84
Svop	0	0	0	0
Slc27a1	34	36	30	30
Aqr	2852	2478	3582	2636
Colgalt1	1929	1911	2304	1591
Acap1	1	0	1	0
Olfr821	0	0	0	0
Zfp687	240	195	263	153
B3gat1	0	0	0	0
Zmym5	2543	2621	3903	3686
Postn	21730	20274	5943	5178
Zbbx	0	1	0	0
Tfdp1	15403	17411	22901	23736
Cct2	21250	22068	32370	24513
Ccng2	1397	1465	2120	2027
Ccnf	466	508	740	443
Kcnc1	26	20	35	29
Vmn1r76	0	0	0	0
Vmn1r80	0	0	0	0
Mir675	0	0	0	0
4933433G15Rik	20	7	32	23
Mitf	423	491	1713	1566
Pkd1	441	360	463	274
Mmp20	1	0	0	0
Tcl1b2	0	0	0	0
Rsc1a1	8	22	25	19
Cldn2	0	0	0	0
Cldn1	54	55	203	181
Nfatc1	157	227	86	69
Tnk2	92	70	96	40
Pdlim5	21270	22536	17393	15831
Ces2a	0	0	0	0
Tmlhe	0	0	0	0
Ints13	4265	4220	4973	4064
Aak1	2229	2412	2534	2109
Cryz	432	329	361	214
Hus1	1916	1942	2619	2065
Slc6a17	16	19	59	31
Fkbp2	0	0	0	0
Wbp1	21	17	34	3
Cdk2	1279	1217	1713	1445
Mylpf	0	1	1	1
Lxn	507	440	692	350
A330093E20Rik	0	0	0	0
Nup88	5099	4888	7205	4203
Ggps1	4608	4685	6981	6165
Rbp7	1	0	0	0
Mir6407	0	0	1	0
Mkrn2os	25	33	31	19
Usp17le	1	0	0	0
Tmem250-ps	69	35	83	27
Ate1	7275	6707	7193	6266
Papss1	4398	4266	7174	6869
Pi4kb	252	237	312	175
Gid8	2149	1950	2844	2218
Tll2	0	0	0	0
Mir7005	0	0	0	0
Mir6413	0	0	0	0
Cacna1c	284	290	650	466
Zdhhc23	11	12	40	18
Vdr	131	141	295	192
Vcp	9899	8715	13802	7598
Hsd3b7	51	86	79	79
Fezf1	0	0	0	0
Ppp1r11	287	179	257	157
Brk1	548	475	763	342
Mir130b	0	0	0	0
C9orf72	913	850	1114	916
Zfp202	767	751	701	525
Ube2w	7367	8147	8252	8018
Mir7688	0	0	0	0
Kif20a	2745	2426	3334	1814
Gm10471	0	0	0	0
Gm45871	1181	1222	892	938
Dph3	971	846	1687	1059
Ankrd31	2	0	0	0
Mir323	0	0	0	0
Mirlet7f-1	476	423	660	712
Mir677	85	49	63	79
Gm4961	8	12	3	4
Stard8	4	1	0	0
Tjp2	1484	1416	1087	683
Fchsd2	1052	1093	857	800
Mphosph6	1948	1524	1716	1505
Hcrtr2	0	1	2	0
Gabra4	1586	1661	222	242
Fubp1	36702	40070	44246	43104
Bdnf	11591	12032	20061	19498
Hnrnpab	41481	36834	57722	47002
Oprl1	0	0	1	0
Rad1	1075	1026	1341	1044
Sox17	0	0	0	0
Ovol3	0	0	0	0
Obsl1	21	20	22	9
Bmf	3	2	4	2
Mcts1	6291	6290	8230	7319
Ccpg1	556	520	474	385
Dnajb2	87	48	87	38
Nthl1	4	1	2	3
Mir8099-2	0	0	0	0
Kcnip4	1	2	4	1
Pkm	1715	891	1957	777
Tssk4	9	7	15	7
Apbb1	13	6	12	3
Mphosph9	1441	1287	1536	1366
Immt	5235	4452	6272	3928
Prlr	15	36	27	25
Enpp1	1055	988	3052	2247
Pmepa1	4398	4751	4070	3785
Mtrr	969	1001	1492	1018
Csf3r	20	24	24	12
Sumo3	3260	2632	3250	1931
Hipk1	9694	10471	11403	10983
Brd8	3529	3123	4297	2908
Tmem63c	0	0	0	0
Apool	2273	2288	2035	1451
Ppt2	15	6	30	3
Pbx3	1130	1004	1105	1081
Plpp2	225	206	422	134
Kmt2b	36	29	28	15
Cma1	0	1	0	0
Esp1	0	0	1	0
Fmo4	0	1	2	1
Kctd9	1870	1911	3120	2382
Dusp28	35	28	0	4
Lax1	0	0	0	0
Ikzf5	6640	7566	8218	8508
Actn1	14316	15074	13589	13771
Rps19bp1	96	54	142	26
Slc16a13	4	2	5	2
Zranb1	3994	4054	3843	3096
Tom1l2	105	107	205	101
Pex10	28	30	57	32
Rad52	285	203	311	262
Traf3	2008	2152	2880	2411
Hsp90b1	106463	86766	116849	100244
Nrg1	3472	3963	2016	1764
Ralbp1	3749	4093	4750	3760
Arhgef2	1101	1078	1593	1209
Fip1l1	4890	5132	8558	6104
Smco1	69	79	84	96
Tada2b	1681	1863	2653	2075
Wbp2	279	350	481	371
Matn3	38	48	13	15
Gpr158	2	0	0	0
Gm8363	0	0	0	0
Apaf1	3947	3683	4343	3769
Grb7	0	0	0	0
Aqp4	0	0	0	0
Mon1b	472	592	608	480
Dipk2b	0	0	0	0
Enox2	633	550	628	497
Kcnma1	5	6	4	4
Haghl	20	13	30	5
Orc6	6726	7320	11780	7713
Ube2dnl1	0	0	0	0
Camsap1	1034	933	1044	724
Dst	14187	13083	17217	12951
Usp29	89	83	0	0
Slc30a4	23074	23696	75411	74737
Slc2a12	2	1	0	0
Cdk10	24	7	23	4
Hnrnpr	23580	24638	25568	23062
Wdr37	3184	3350	3939	3678
Tfpt	17	7	12	5
Polg	431	361	480	249
1700010K23Rik	0	1	0	0
Cyba	4	4	0	0
Slc26a2	467	418	413	301
Epyc	0	0	0	0
Dsg2	59	75	78	98
Htr7	2	1	0	0
Vldlr	425	393	96	77
Smarca2	3049	2431	1692	1713
Ptprk	4631	4333	3553	2324
Cpne9	66	63	44	45
Gnas	32865	38746	49837	39503
Rpusd4	177	165	259	144
Ppp6r2	252	214	264	210
Irak2	367	360	794	623
Msrb2	34	35	53	38
Knl1	30481	31356	38539	38871
Clec4a3	0	0	0	0
6030458C11Rik	2176	2347	3007	2717
Smim10l1	26360	28636	26226	26075
Rerg	75	75	10	4
Rit1	190	140	215	109
Pcgf2	46	58	56	40
Apol9b	0	0	1	1
Pum2	27791	30990	35551	35642
Pcdh11x	3	0	0	0
Gm8439	0	0	0	0
Gm7616	8	5	7	4
Scoc	30268	31504	29826	30161
Ptger4	1094	1235	2003	1751
Ptpn21	1213	1620	1860	1782
Serpinb9c	3	0	0	4
Mir6983	0	0	0	0
Snrpa	86	59	128	30
Mro	10	8	7	7
Hspbp1	12	15	12	7
Lrrn4cl	107	97	90	71
H2al1m	0	0	0	0
Ptprc	8	3	15	9
Bdkrb1	0	0	2	0
Opn1sw	1	0	0	0
Bckdha	2	3	0	1
Bcat1	3467	3007	4255	2813
Mmp23	7	0	14	7
Fhod3	122	135	76	89
Olfr476	0	0	0	0
Abi1	12293	13087	13822	13610
Slc25a32	5792	6021	7899	7680
Mbnl3	7116	8223	13078	13657
Mcoln3	0	0	0	0
Cyp4f15	0	0	0	0
Zfp809	1323	1202	1537	1289
4933406I18Rik	0	0	20	28
Nox1	4	0	0	4
Tmem108	1	0	0	0
Zfp87	879	794	1007	822
Gm6637	0	0	0	0
Dlg1	9736	10124	8384	6347
Tmem38a	21	13	23	8
Ubxn4	4642	4128	5491	4579
Dsg1c	0	0	0	0
C130026I21Rik	0	0	0	0
Rnf181	702	514	731	445
Ccdc59	4033	4173	4908	4364
Speer5-ps1	0	0	0	0
Aldh9a1	876	843	1111	981
Atxn7l2	15	16	9	8
Atp9a	2	0	1	0
E130008D07Rik	10	17	29	10
AI197445	4	5	14	17
Acsm2	36	38	38	47
Clcf1	155	169	173	92
Gm2061	0	0	0	0
Mep1b	1	0	0	0
Smurf2	9834	9849	10111	9146
Dzip3	26719	30045	25769	24889
Bin3	28	18	91	23
Aggf1	1748	1525	2397	2095
0610030E20Rik	556	545	839	683
Slc11a1	43	45	37	21
D230017M19Rik	3	1	4	1
4930563J15Rik	0	0	0	0
Adcy10	4	6	0	1
Elovl4	3167	3207	2030	2006
Pcsk2os1	6	15	9	8
Mir376b	0	2	0	0
Cdr1os	0	0	0	0
Vash2	938	932	1085	981
Cahm	223	212	284	296
Mir200a	0	0	0	0
Mir192	0	0	0	0
AY702103	0	0	0	0
Gm11532	5	0	2	2
Apobec3	185	163	185	127
Smox	4	3	6	1
Klra3	4	3	0	3
Uimc1	1901	1406	2187	1809
4930546K05Rik	5	5	0	2
Ica1l	313	311	24	11
Irf8	0	0	0	0
Icam5	0	2	2	0
1700025N23Rik	77	50	46	56
Dnase1l1	78	78	120	81
Smpx	0	0	0	0
Tspan4	69	51	68	25
Zfp410	1901	2029	2502	1734
Ldhb	37	17	5	2
Nkiras1	159	179	309	242
Mus81	29	18	36	6
Ldah	1064	1029	1431	1091
Bspry	1	0	0	0
Tatdn1	2062	1864	2121	2132
Drd2	0	0	0	0
Chaf1a	146	54	128	57
Vsig2	1	1	2	1
Slc16a8	0	0	0	0
Sgk2	2	2	2	0
Ldoc1	0	0	0	0
Prkg1	210	225	177	215
Glrx3	3404	2359	2430	2489
Bloc1s2	629	472	972	601
Ebf1	2870	3185	5761	5215
Gm6938	0	0	0	0
H2afy3	0	0	0	1
Gm7367	0	0	0	0
Zfp229	4149	4189	4033	4281
Cox7a2l	848	656	1004	541
Shcbp1	16919	16119	13821	12655
Srpx	15	20	2	3
Pigp	2641	3090	3125	2429
Pcdh9	2834	2566	4324	3340
Pik3r3	1930	1882	2005	1619
Cblif	0	0	0	0
Sytl4	93	96	23	8
Atp5d	20	13	24	10
Rp9	178	122	197	92
Nemf	10210	9752	13931	11245
Gm2762	0	0	0	0
Kmt5b	5045	5049	5996	5355
Suv39h1	1543	1190	1444	808
Stag2	37959	38256	44445	42524
Mgat4e	0	0	0	0
Nol4l	10	26	1	1
Tor1aip2	12273	11335	16853	14585
Ktn1	10867	10725	18633	17033
Unc5d	2	3	1	2
Mir669a-8	0	0	0	0
Vmn2r8	0	0	0	0
Vmn2r6	0	0	0	0
Miga1	116	109	217	211
Gm9125	0	0	0	0
Setd3	2876	2508	4179	3105
Capn12	12	20	14	7
Mrpl52	176	151	343	131
Gpr180	236	298	542	247
Dr1	14469	16449	18800	20487
Zfand2b	7	5	11	8
Lman2	456	398	653	356
Cmc2	171	141	194	119
Carhsp1	765	523	1489	726
Prr32	0	0	1	1
Pdgfrl	171	283	54	22
Zfp385a	1	0	0	0
BC039966	3	0	0	0
4930440C22Rik	0	0	0	0
Nde1	2160	2097	2861	2048
Mir3101	0	0	2	1
Mir3100	0	0	0	0
1700111N16Rik	0	0	0	0
Zmynd10	0	0	0	0
Gm35978	0	0	0	0
Cd46	135	114	224	245
Eif3k	97	59	111	35
Fez2	2621	2253	2637	1679
1700009C05Rik	0	0	0	0
Tdrd3	2863	3008	3789	3565
Septin4	2	0	0	0
Sh3bp5l	27	15	29	7
Apba2	21	18	25	26
Cpsf4	125	114	183	96
Nlrp5	1	2	1	0
Abhd12	453	330	595	399
Tbx6	0	0	0	0
Gm10451	0	0	0	0
Scarna10	2981	1291	1572	1285
Slc24a3	38	17	0	0
Cdc123	4227	4319	6413	5093
Scml4	6	6	13	12
Chrdl1	127	152	0	0
Ppfia2	11	15	0	1
Cpsf7	3246	3409	3754	3042
Rps21	5627	6828	13534	5010
Cdk11b	984	789	1135	799
Hnrnpc	16449	14914	23119	18333
Stard13	1786	1777	1167	956
Lysmd4	106	80	67	62
Zkscan8	3575	3923	5440	5316
Prom1	5	4	0	0
Skor1	0	0	0	0
Fyb2	616	602	703	566
Nsfl1c	476	537	866	399
Atp6v0e	290	247	397	170
6330403K07Rik	0	0	0	0
Abcc2	1	0	0	0
Adat1	138	82	100	55
Slc25a13	1757	1721	2782	2470
Sema4a	0	0	4	2
Chek2	438	411	600	473
Keap1	279	214	363	192
Klf13	614	611	1085	742
Reck	443	462	163	151
Pld5	10	13	8	4
1700027A15Rik	0	0	0	0
Myo18a	32	29	46	12
Prrg1	6288	7764	5402	5737
Arhgap24	396	399	997	959
Cd72	0	0	0	0
Catsperg1	3	1	0	0
Fh1	1521	1245	1940	1015
Asb17os	0	0	3	0
Fkbp7	2046	2131	1742	1334
Cd300a	3	1	1	1
Hivep2	619	750	1732	1712
Cgrrf1	289	276	572	378
2210408F21Rik	15	13	13	5
Angptl8	0	0	0	0
